id,amount,source,cid
228,262,2,21
229,127,3,12974
230,860,3,15530
231,313,1,31046
232,369,1,11058
233,125,3,27613
234,521,2,35859
235,626,2,33449
236,823,1,14920
237,637,2,42922
238,232,2,38572
239,108,1,26132
240,129,3,28385
241,832,2,47924
242,781,2,12364
243,521,3,22759
244,485,3,38149
245,497,1,24933
246,411,1,25648
247,174,1,31418
248,172,3,32218
249,4,3,2646
250,449,3,7265
251,414,2,40996
252,688,1,35141
253,618,2,49268
254,308,2,27529
255,565,2,44376
256,161,2,26479
257,617,3,15673
258,186,3,44183
259,909,2,46699
260,292,2,34412
261,584,3,41612
262,613,2,30017
263,822,1,41638
264,85,1,2335
265,312,2,17718
266,120,2,34600
267,965,2,12829
268,464,3,5596
269,674,2,13017
270,732,3,18120
271,903,2,42327
272,132,1,12868
273,261,2,41075
274,531,2,8123
275,94,2,14367
276,177,3,41390
277,543,1,45635
278,601,3,48300
279,936,2,48242
280,988,3,41415
281,537,3,36497
282,564,3,31499
283,543,1,41806
284,894,3,24390
285,454,1,17568
286,253,3,49852
287,683,3,7179
288,788,2,13988
289,88,1,7587
290,447,3,15862
291,766,2,42034
292,72,3,20886
293,116,3,19244
294,550,3,14321
295,327,3,1790
296,667,2,24255
297,764,3,6027
298,313,1,30805
299,510,2,38128
300,757,3,33386
301,868,2,22331
302,25,2,49501
303,687,3,48670
304,562,3,9427
305,717,1,689
306,737,3,45667
307,591,2,47543
308,403,1,15339
309,575,1,9133
310,804,2,29619
311,402,1,25946
312,868,3,12464
313,815,2,28008
314,835,3,511
315,437,2,28077
316,585,1,40517
317,638,1,7182
318,637,2,13533
319,590,2,34773
320,121,1,18911
321,99,1,4236
322,36,3,19825
323,718,2,4678
324,545,3,41862
325,641,3,8486
326,59,1,361
327,404,2,40988
328,602,3,24872
329,842,1,18626
330,618,3,524
331,215,1,3800
332,998,1,14306
333,673,1,46778
334,766,2,10810
335,64,3,45203
336,778,3,10333
337,717,2,29246
338,940,1,47128
339,214,1,15809
340,282,2,38919
341,854,2,35453
342,887,3,39969
343,837,1,35559
344,598,1,45763
345,739,2,25394
346,742,2,33632
347,573,3,4389
348,569,1,25595
349,214,1,41927
350,180,1,266
351,699,3,25581
352,887,1,48432
353,614,2,20778
354,90,3,4550
355,471,1,6072
356,552,1,23348
357,484,1,46066
358,341,3,47391
359,494,1,4128
360,929,2,34397
361,585,1,36593
362,80,1,1886
363,425,1,37307
364,576,1,10375
365,317,1,49647
366,115,3,5006
367,954,1,41172
368,294,3,49286
369,591,3,26260
370,860,2,11133
371,715,2,11199
372,667,3,45826
373,14,1,7845
374,523,1,38977
375,104,2,2235
376,564,2,15380
377,554,2,39678
378,342,3,20110
379,768,2,4869
380,450,2,11965
381,412,1,49019
382,627,1,8404
383,962,2,13706
384,975,1,47822
385,602,1,29121
386,98,2,12667
387,983,3,23907
388,312,1,14559
389,816,1,28678
390,602,1,49368
391,776,2,18569
392,180,2,40752
393,931,2,21578
394,255,1,8240
395,344,2,37782
396,188,2,5338
397,778,1,262
398,239,3,25754
399,58,2,20059
400,701,3,9714
401,451,1,37235
402,890,2,4915
403,361,3,46413
404,686,1,9786
405,260,2,7665
406,583,3,18703
407,376,1,44692
408,321,3,33116
409,954,1,3801
410,722,3,49494
411,776,3,19895
412,251,1,6053
413,271,3,29966
414,914,3,24260
415,166,1,38838
416,456,3,11340
417,340,3,13714
418,140,3,31472
419,884,3,45437
420,88,1,25608
421,984,3,27540
422,755,3,43834
423,22,1,49582
424,579,1,16063
425,379,2,41284
426,793,3,39347
427,802,2,16123
428,498,2,17932
429,313,1,16840
430,834,3,4792
431,985,2,38695
432,447,2,13525
433,179,2,10869
434,541,3,38525
435,864,1,35504
436,322,2,32653
437,397,3,10405
438,410,2,47810
439,125,1,15742
440,315,3,14595
441,914,1,10428
442,459,2,31662
443,974,3,37628
444,998,3,40534
445,110,2,27794
446,550,1,46905
447,309,3,6319
448,186,2,7194
449,263,1,28982
450,456,2,671
451,341,2,25733
452,677,3,1808
453,649,3,17902
454,712,3,11937
455,660,3,19493
456,48,2,39723
457,798,3,4502
458,287,3,46117
459,205,3,48074
460,586,3,8513
461,141,1,3834
462,561,3,22060
463,408,1,5762
464,817,3,37353
465,726,3,23845
466,564,1,20478
467,885,2,28198
468,999,2,43618
469,666,1,31081
470,625,3,31611
471,545,1,17674
472,4,3,41009
473,661,2,25754
474,329,3,19482
475,562,2,19385
476,986,1,3726
477,268,3,18950
478,602,3,43986
479,404,1,422
480,386,1,21891
481,163,1,47553
482,482,1,39343
483,316,2,22485
484,836,2,46831
485,501,1,20063
486,37,2,45200
487,78,2,45958
488,204,2,31113
489,303,1,41435
490,312,2,30710
491,408,3,49293
492,181,2,1041
493,327,1,31076
494,510,2,5330
495,130,2,48030
496,483,3,36831
497,223,2,9223
498,216,3,29042
499,640,1,19606
500,947,3,28124
501,331,3,27714
502,876,3,44505
503,115,3,22062
504,546,1,25843
505,721,1,43018
506,767,1,17781
507,565,3,48944
508,148,3,33912
509,934,3,15308
510,755,3,31391
511,630,2,37736
512,74,2,11084
513,628,3,28642
514,238,2,23502
515,946,2,46532
516,241,1,20056
517,989,1,2287
518,890,2,31534
519,843,3,49046
520,458,2,13516
521,184,3,20432
522,216,3,1078
523,517,2,39111
524,24,3,20931
525,632,2,32483
526,505,2,10399
527,24,1,38129
528,920,3,22088
529,120,1,48310
530,632,1,2677
531,960,2,36094
532,936,3,23230
533,568,2,15102
534,196,3,36584
535,878,3,14002
536,226,2,16587
537,681,1,47053
538,536,3,26717
539,81,3,47899
540,381,2,21452
541,186,2,39331
542,605,1,12108
543,34,3,19461
544,578,2,883
545,30,3,28881
546,186,3,28721
547,730,3,45601
548,341,1,26137
549,957,3,45507
550,847,3,1068
551,387,3,5940
552,279,3,1487
553,528,1,38212
554,484,3,4359
555,585,2,26067
556,428,2,45425
557,470,1,31111
558,517,2,3417
559,962,1,48398
560,656,2,21935
561,212,2,11642
562,224,2,42442
563,734,1,40411
564,829,2,14332
565,538,3,38812
566,281,3,22550
567,784,2,46317
568,452,2,21483
569,875,3,7296
570,142,3,21343
571,904,3,46076
572,957,2,39407
573,48,1,12143
574,576,2,31765
575,531,1,32860
576,178,2,38394
577,506,2,26912
578,119,1,34601
579,839,1,27671
580,748,3,12055
581,792,3,17169
582,379,3,910
583,309,2,1242
584,669,3,39526
585,286,1,17893
586,771,1,37375
587,606,1,40765
588,208,2,32034
589,356,3,41989
590,460,1,49651
591,497,1,38926
592,874,1,4077
593,426,3,33826
594,224,3,19151
595,283,2,42154
596,781,1,10709
597,508,3,17518
598,386,1,10443
599,611,3,43019
600,2,2,29562
601,998,2,26630
602,943,2,28261
603,772,2,4072
604,175,2,4404
605,800,1,9586
606,847,1,27019
607,595,2,33774
608,867,3,6440
609,108,3,27986
610,659,1,3576
611,79,3,40610
612,244,1,26343
613,455,3,2959
614,548,3,23502
615,994,1,17957
616,931,3,26131
617,775,3,3697
618,381,2,5794
619,880,3,44679
620,880,2,23904
621,16,1,47874
622,882,2,43394
623,109,1,42869
624,144,1,22542
625,499,1,18567
626,729,1,18079
627,185,2,12084
628,5,1,15892
629,754,1,30999
630,652,2,49836
631,224,2,40109
632,229,1,24197
633,768,2,36069
634,837,3,7712
635,109,2,35307
636,553,2,36971
637,240,3,20605
638,424,1,144
639,968,2,34749
640,994,3,29214
641,907,3,9043
642,553,3,45210
643,305,2,34213
644,649,1,5400
645,8,3,36942
646,745,1,14340
647,349,2,287
648,408,1,10152
649,497,1,23410
650,275,1,20474
651,332,2,9230
652,882,2,17745
653,787,3,48907
654,609,2,2905
655,923,3,21357
656,5,3,39857
657,346,1,35397
658,972,2,6700
659,846,1,49639
660,243,3,32162
661,784,2,4869
662,170,1,48793
663,703,1,44105
664,287,1,20220
665,668,2,26113
666,736,2,33336
667,4,3,45022
668,171,2,37129
669,577,1,14771
670,392,2,11692
671,923,3,9065
672,128,1,21294
673,69,1,27234
674,281,2,12281
675,210,1,5661
676,929,1,43752
677,254,3,12175
678,25,2,48104
679,75,1,42420
680,598,2,13784
681,917,1,33737
682,876,1,46139
683,277,1,39281
684,428,2,14891
685,503,1,14829
686,939,2,8643
687,841,3,24274
688,714,2,25265
689,221,1,1094
690,757,3,19872
691,154,2,44831
692,819,3,18389
693,888,3,11617
694,205,2,31710
695,263,2,47229
696,12,3,37733
697,974,3,36445
698,869,3,26747
699,750,2,41678
700,75,1,39483
701,765,1,11158
702,793,2,25356
703,980,2,35241
704,757,3,27878
705,893,1,31230
706,142,1,477
707,81,1,13627
708,33,2,12394
709,967,2,43882
710,39,1,11040
711,895,1,7914
712,714,1,12592
713,837,2,39399
714,560,3,36890
715,73,1,2994
716,598,1,1412
717,229,1,24197
718,578,2,3937
719,138,3,7517
720,14,1,50
721,88,3,20306
722,749,1,20085
723,254,3,8837
724,466,1,11053
725,621,1,14216
726,150,2,41358
727,952,3,11584
728,111,3,44984
729,618,3,11660
730,971,3,5209
731,226,2,26309
732,471,2,2849
733,367,2,43451
734,339,3,11186
735,493,2,41587
736,970,2,33490
737,358,1,11066
738,577,1,30383
739,344,1,892
740,937,1,22461
741,69,1,12632
742,413,3,40344
743,152,3,30756
744,650,2,19484
745,459,1,33321
746,391,1,20178
747,930,2,41641
748,9,1,44533
749,962,3,12266
750,490,2,47867
751,479,1,9988
752,215,3,16846
753,605,3,28540
754,97,3,30946
755,593,3,43303
756,443,1,45755
757,336,1,4202
758,605,1,1967
759,712,2,35861
760,485,3,5869
761,736,1,37696
762,116,1,13578
763,656,3,29472
764,225,3,24988
765,514,3,35529
766,556,3,5911
767,686,2,9418
768,774,2,38236
769,248,3,38646
770,742,2,12592
771,751,1,40777
772,769,3,24163
773,621,3,12688
774,379,3,33216
775,228,2,29121
776,311,2,1057
777,53,3,14556
778,887,2,3249
779,299,3,2464
780,314,1,40254
781,199,1,46844
782,731,2,31181
783,835,3,26525
784,286,1,42257
785,404,1,38916
786,452,3,6767
787,763,1,31477
788,695,3,49174
789,195,2,42474
790,613,2,2572
791,531,3,19857
792,441,2,45974
793,826,1,2781
794,252,3,17522
795,193,1,19880
796,425,1,6572
797,135,2,36657
798,227,2,35676
799,326,1,24717
800,961,3,46509
801,423,1,23058
802,429,3,6959
803,953,1,6257
804,649,1,28775
805,219,1,23632
806,91,3,7567
807,932,3,33526
808,404,1,39475
809,108,2,20397
810,55,3,38315
811,415,3,47564
812,780,3,15703
813,297,2,413
814,263,1,34083
815,503,3,20235
816,443,2,44461
817,994,1,29795
818,785,3,8442
819,674,1,6385
820,529,1,37467
821,681,1,10145
822,461,2,33631
823,803,2,33642
824,961,2,3967
825,852,3,17155
826,235,2,41515
827,205,1,12876
828,83,3,44906
829,211,1,963
830,762,2,31719
831,599,2,15133
832,346,1,26183
833,679,3,1586
834,416,3,23011
835,939,3,18716
836,269,1,43790
837,678,2,23545
838,430,2,29419
839,105,2,40140
840,910,2,9802
841,760,2,32122
842,363,2,17475
843,74,2,35729
844,240,3,18952
845,853,3,22501
846,37,2,32419
847,405,2,27608
848,980,3,41228
849,280,1,24290
850,470,1,43651
851,710,2,15579
852,320,3,44179
853,571,2,1661
854,293,2,36667
855,383,1,21068
856,335,2,45445
857,784,2,12965
858,877,2,33218
859,771,3,15021
860,290,1,12492
861,823,1,26303
862,695,1,16451
863,916,3,29700
864,667,1,19339
865,855,2,21498
866,493,1,34202
867,244,3,22332
868,997,2,30416
869,374,1,37128
870,824,2,29403
871,640,3,12229
872,490,1,34996
873,956,2,13026
874,205,2,23126
875,954,2,26260
876,572,3,17157
877,691,3,22704
878,512,2,48337
879,510,1,27607
880,496,1,17248
881,266,3,3661
882,859,3,7597
883,570,3,48082
884,884,3,2032
885,546,3,21646
886,645,1,29527
887,737,1,46784
888,425,3,39940
889,387,3,14109
890,279,2,35715
891,791,3,35273
892,924,1,26544
893,17,1,38256
894,5,3,39951
895,504,2,46193
896,649,1,27694
897,895,2,28883
898,4,3,6525
899,364,3,29680
900,461,2,6796
901,68,3,35715
902,81,1,7751
903,595,2,31643
904,365,1,46347
905,280,2,10060
906,394,2,44215
907,478,3,38502
908,951,3,39599
909,311,3,17968
910,221,2,37567
911,46,2,26207
912,739,1,42357
913,385,2,47917
914,522,1,13459
915,878,3,46873
916,437,3,40765
917,453,3,28692
918,191,2,31144
919,104,2,32837
920,505,3,19314
921,712,3,48598
922,115,2,19082
923,413,2,17745
924,946,1,37675
925,373,1,17437
926,765,3,22848
927,299,3,45737
928,862,1,8244
929,944,3,32054
930,418,1,37901
931,668,1,1048
932,438,3,745
933,939,3,21323
934,201,3,24565
935,902,2,14256
936,338,3,45376
937,900,3,11389
938,778,1,32508
939,625,3,37980
940,895,1,49860
941,542,1,32430
942,725,2,24503
943,881,1,8876
944,397,2,13126
945,709,1,42408
946,531,1,6838
947,930,2,13238
948,338,1,32996
949,410,1,33163
950,351,1,34864
951,649,2,43630
952,773,1,24098
953,146,3,29665
954,733,3,38402
955,549,2,14377
956,580,2,22582
957,919,1,43940
958,13,2,23571
959,248,3,24825
960,687,3,45942
961,48,3,43158
962,56,3,27872
963,738,1,18217
964,670,3,34156
965,612,3,33295
966,69,1,9232
967,17,2,7640
968,899,1,11581
969,318,2,13365
970,178,1,19476
971,238,3,26937
972,952,3,49550
973,80,2,41898
974,996,3,24517
975,809,2,20386
976,572,3,15145
977,427,3,16152
978,690,3,32834
979,460,3,27656
980,671,2,39959
981,217,3,28551
982,491,3,11724
983,5,3,3255
984,863,2,45384
985,308,3,6893
986,680,3,44292
987,784,3,3881
988,493,1,22023
989,536,2,38037
990,469,2,29389
991,875,1,18037
992,93,1,34162
993,388,2,15542
994,496,2,25392
995,616,3,47933
996,199,3,46200
997,821,2,23834
998,277,3,35485
999,980,2,10886
1000,233,1,34864
1001,686,2,20344
1002,811,2,33188
1003,314,2,3965
1004,25,2,19278
1005,614,1,7132
1006,850,3,31945
1007,360,2,8840
1008,553,3,40407
1009,590,3,24918
1010,804,1,25941
1011,231,1,39154
1012,463,2,9222
1013,691,3,23410
1014,208,3,39624
1015,305,2,998
1016,41,1,28630
1017,559,2,43204
1018,518,1,13517
1019,174,3,32151
1020,263,1,15737
1021,965,1,17526
1022,988,1,32408
1023,329,2,23271
1024,380,2,19570
1025,678,3,19686
1026,233,1,39316
1027,410,3,7609
1028,20,1,44737
1029,774,1,34108
1030,292,3,8343
1031,829,2,13886
1032,511,3,18708
1033,369,2,23930
1034,863,2,3630
1035,477,1,11851
1036,658,2,23348
1037,165,3,28274
1038,6,3,20145
1039,470,1,14004
1040,79,3,47828
1041,95,2,15134
1042,22,3,7386
1043,139,1,277
1044,849,1,19392
1045,971,2,12403
1046,971,2,38704
1047,63,1,35280
1048,487,1,36221
1049,178,2,7516
1050,656,1,47838
1051,716,2,43836
1052,956,1,14612
1053,185,2,28981
1054,734,2,1661
1055,492,1,39568
1056,668,3,43576
1057,57,1,44584
1058,900,3,8315
1059,15,3,14700
1060,55,3,18118
1061,680,3,24222
1062,83,3,30562
1063,520,1,23455
1064,959,3,40277
1065,827,2,47845
1066,250,2,37181
1067,303,2,27945
1068,878,1,46630
1069,299,3,45003
1070,173,3,12636
1071,688,2,17327
1072,189,3,17731
1073,564,2,663
1074,539,1,49154
1075,103,2,17702
1076,134,2,17060
1077,978,3,30909
1078,336,3,7434
1079,388,2,183
1080,805,3,34306
1081,635,1,34290
1082,222,1,18253
1083,566,3,31752
1084,590,3,18765
1085,912,3,10961
1086,860,1,28597
1087,173,3,31325
1088,907,3,46366
1089,811,1,43705
1090,811,2,42897
1091,691,3,24358
1092,909,3,6109
1093,457,3,36223
1094,532,2,17057
1095,241,2,49753
1096,725,2,10026
1097,493,1,25699
1098,137,1,32530
1099,405,2,43184
1100,554,1,22037
1101,644,3,11247
1102,562,3,48315
1103,103,1,32977
1104,577,1,22308
1105,372,1,31521
1106,426,3,23412
1107,118,3,48970
1108,88,3,32068
1109,494,3,6100
1110,182,3,22744
1111,427,2,18445
1112,274,3,41490
1113,461,2,13868
1114,557,1,14034
1115,119,2,18194
1116,890,1,38506
1117,772,1,47470
1118,845,3,31044
1119,65,3,42833
1120,937,1,18250
1121,262,1,21070
1122,686,3,24303
1123,3,1,24675
1124,673,3,5195
1125,271,1,49871
1126,383,1,46903
1127,920,1,27976
1128,393,3,34626
1129,161,2,28240
1130,872,1,3043
1131,779,3,504
1132,133,3,9822
1133,393,3,40554
1134,318,2,18503
1135,446,3,34536
1136,60,3,3455
1137,191,1,17003
1138,775,3,7407
1139,964,2,46728
1140,740,3,48048
1141,337,3,48395
1142,770,2,49714
1143,85,2,23488
1144,112,1,24186
1145,60,2,41870
1146,44,1,40693
1147,724,1,28501
1148,896,2,35756
1149,268,1,32458
1150,35,3,44586
1151,230,3,13450
1152,480,2,10182
1153,834,2,23636
1154,830,1,9658
1155,584,2,21192
1156,75,2,26220
1157,24,2,36511
1158,867,1,7127
1159,507,2,41551
1160,469,2,13519
1161,746,1,2166
1162,204,1,47327
1163,182,3,41710
1164,497,3,29129
1165,116,2,34388
1166,129,1,14740
1167,390,1,37983
1168,218,1,10055
1169,779,1,34483
1170,763,2,30279
1171,649,3,6792
1172,193,3,48258
1173,745,3,285
1174,95,3,23442
1175,832,3,6454
1176,522,2,6507
1177,583,3,34264
1178,75,1,32093
1179,383,2,43542
1180,123,3,11000
1181,632,2,40112
1182,840,2,23999
1183,26,2,12149
1184,269,3,38593
1185,807,3,29350
1186,974,2,34595
1187,366,3,29858
1188,425,1,10670
1189,886,1,24233
1190,912,1,22299
1191,96,1,25406
1192,796,1,1761
1193,752,3,6279
1194,290,1,49055
1195,978,3,37283
1196,91,2,8285
1197,564,3,3289
1198,682,3,11364
1199,166,3,43606
1200,871,1,3124
1201,494,3,11643
1202,429,2,6703
1203,469,3,7231
1204,173,1,30244
1205,80,1,3027
1206,440,1,15821
1207,296,3,31667
1208,936,1,17033
1209,201,3,42302
1210,210,3,9930
1211,491,3,36783
1212,59,3,21909
1213,161,3,26525
1214,65,2,24482
1215,135,2,35403
1216,998,2,47725
1217,238,2,12818
1218,894,1,38641
1219,454,1,2177
1220,949,2,1106
1221,351,2,25769
1222,279,3,35816
1223,417,1,39624
1224,476,3,15302
1225,572,2,12170
1226,184,3,18421
1227,28,2,24522
1228,203,1,43307
1229,7,2,18141
1230,117,2,23900
1231,142,2,22073
1232,941,1,17262
1233,157,1,47746
1234,515,1,45961
1235,719,1,30716
1236,669,1,4953
1237,166,1,16808
1238,158,3,22420
1239,314,1,26616
1240,785,1,9178
1241,815,2,21108
1242,417,3,12967
1243,14,1,31606
1244,567,2,5129
1245,105,2,13721
1246,25,1,35048
1247,964,2,22571
1248,234,2,49917
1249,809,2,30969
1250,923,3,33332
1251,501,3,36512
1252,637,2,23934
1253,7,2,8903
1254,496,1,46665
1255,470,2,21987
1256,800,2,7251
1257,793,2,37454
1258,466,2,4699
1259,763,3,9535
1260,192,2,34737
1261,13,2,26394
1262,712,1,41307
1263,267,1,45776
1264,49,1,35635
1265,999,1,29565
1266,779,2,10523
1267,619,2,30980
1268,23,3,13280
1269,710,1,43008
1270,435,1,838
1271,129,1,34288
1272,977,1,11335
1273,241,1,26900
1274,695,3,22218
1275,816,1,13507
1276,465,3,45042
1277,370,1,33807
1278,363,2,389
1279,213,3,39533
1280,818,1,46068
1281,73,1,40477
1282,692,3,42270
1283,364,1,1800
1284,489,2,45413
1285,545,1,11787
1286,857,3,14705
1287,369,1,14522
1288,530,3,31483
1289,837,1,27935
1290,167,2,28582
1291,385,3,12510
1292,338,2,29881
1293,46,3,20308
1294,897,3,46832
1295,239,3,5796
1296,150,2,16279
1297,237,2,30723
1298,99,2,36841
1299,234,3,22235
1300,629,2,23783
1301,326,3,12672
1302,454,2,23682
1303,220,1,30770
1304,701,3,44452
1305,795,3,38953
1306,773,2,23429
1307,195,1,48513
1308,708,3,22776
1309,51,3,10598
1310,41,1,10840
1311,1,2,7208
1312,715,1,12208
1313,591,3,9092
1314,70,3,33401
1315,203,3,39005
1316,987,3,18330
1317,348,2,10167
1318,489,3,8898
1319,663,3,48667
1320,657,1,1116
1321,598,3,48185
1322,327,2,41471
1323,22,3,4447
1324,794,1,19996
1325,170,1,25094
1326,510,3,45093
1327,481,1,48894
1328,95,3,23890
1329,422,1,11650
1330,218,2,30969
1331,598,3,32563
1332,48,3,43483
1333,191,3,6995
1334,158,1,30036
1335,477,2,43633
1336,439,3,35232
1337,211,3,18895
1338,554,2,37856
1339,233,2,35085
1340,879,2,42332
1341,49,3,31966
1342,346,2,37033
1343,357,1,10106
1344,631,3,629
1345,396,3,45098
1346,762,3,40353
1347,103,3,19861
1348,179,2,10478
1349,205,3,27929
1350,679,1,45151
1351,896,2,25612
1352,984,3,28178
1353,392,3,21789
1354,40,2,15611
1355,694,1,28821
1356,37,2,30074
1357,985,3,38269
1358,923,1,22346
1359,793,3,18138
1360,448,3,45994
1361,224,3,48508
1362,518,1,26624
1363,401,2,7269
1364,643,1,5092
1365,758,2,37993
1366,492,2,10096
1367,617,2,29561
1368,746,3,43797
1369,171,3,17636
1370,209,1,268
1371,634,1,24870
1372,837,1,11545
1373,279,2,47527
1374,386,2,42590
1375,287,3,45362
1376,231,1,45169
1377,597,1,34714
1378,4,1,37847
1379,171,1,38802
1380,329,3,35070
1381,988,1,36289
1382,642,2,37375
1383,356,1,38317
1384,211,1,27991
1385,142,1,2078
1386,50,1,28864
1387,887,3,47926
1388,120,3,2085
1389,137,1,32243
1390,690,2,17558
1391,72,2,23241
1392,396,1,24662
1393,924,1,34514
1394,446,1,27296
1395,331,1,8913
1396,38,2,2038
1397,707,1,42688
1398,539,1,36822
1399,26,2,24253
1400,821,3,23698
1401,88,3,37703
1402,278,2,47190
1403,726,2,12216
1404,418,2,48216
1405,39,2,582
1406,773,2,36791
1407,424,3,35207
1408,112,2,400
1409,41,2,6838
1410,345,2,29133
1411,958,3,45
1412,607,1,47294
1413,196,2,43651
1414,206,2,35855
1415,458,1,13829
1416,56,3,46457
1417,486,3,21575
1418,491,3,8398
1419,933,2,20268
1420,195,3,7875
1421,827,1,48274
1422,571,2,42521
1423,836,3,1698
1424,422,3,38990
1425,159,1,28792
1426,357,3,33909
1427,35,1,14938
1428,929,3,28985
1429,153,1,4981
1430,737,1,39437
1431,805,2,6261
1432,656,1,38461
1433,739,2,48813
1434,152,2,22671
1435,190,2,9210
1436,883,3,21753
1437,960,2,8714
1438,797,2,39462
1439,826,3,28939
1440,950,3,5543
1441,138,2,9039
1442,943,2,21273
1443,839,3,44589
1444,736,2,8508
1445,355,1,49716
1446,203,1,30646
1447,493,2,44885
1448,759,1,47713
1449,979,3,2942
1450,211,2,11335
1451,371,1,37548
1452,154,3,5548
1453,298,3,42337
1454,711,3,2512
1455,447,3,7655
1456,887,1,49094
1457,975,1,39707
1458,706,2,26710
1459,474,1,25488
1460,464,2,34637
1461,156,3,38676
1462,833,2,30185
1463,625,1,34696
1464,452,1,29602
1465,651,3,7710
1466,403,3,45886
1467,970,2,23145
1468,851,1,728
1469,315,1,27377
1470,934,1,39032
1471,215,2,29520
1472,986,2,14583
1473,362,3,46540
1474,241,1,19971
1475,573,1,40421
1476,225,3,28556
1477,629,1,10212
1478,235,3,39738
1479,387,3,10134
1480,836,2,24313
1481,974,2,47199
1482,83,1,43136
1483,727,3,4166
1484,893,1,49667
1485,336,2,9041
1486,251,2,22854
1487,451,2,38563
1488,336,2,27406
1489,575,1,35730
1490,204,2,27796
1491,116,1,4258
1492,432,2,10210
1493,40,2,40610
1494,915,3,23924
1495,159,3,44397
1496,777,1,4945
1497,912,3,32615
1498,161,2,8054
1499,972,3,22122
1500,951,2,41463
1501,538,2,45814
1502,94,1,19997
1503,175,3,5200
1504,880,1,24963
1505,929,1,8767
1506,416,1,49680
1507,388,3,31998
1508,183,1,32937
1509,286,2,31419
1510,997,2,42249
1511,65,3,7702
1512,862,2,41653
1513,694,2,21940
1514,473,3,2904
1515,500,3,24303
1516,367,2,11847
1517,742,1,26848
1518,668,3,23256
1519,149,3,7081
1520,974,1,35298
1521,724,1,40314
1522,33,1,19027
1523,387,1,49241
1524,795,3,41385
1525,725,1,23345
1526,228,1,43647
1527,714,1,26019
1528,778,3,46233
1529,421,3,45759
1530,564,1,21271
1531,724,2,27181
1532,542,2,26635
1533,421,1,12994
1534,328,2,23902
1535,888,1,38722
1536,749,2,41312
1537,728,1,25081
1538,495,1,22032
1539,541,2,42195
1540,357,2,20351
1541,737,3,14735
1542,451,1,13415
1543,664,2,25126
1544,839,2,32681
1545,40,3,40902
1546,885,1,48446
1547,675,2,49449
1548,580,3,46738
1549,482,3,8876
1550,780,2,55
1551,696,3,35997
1552,106,1,12268
1553,409,2,40614
1554,488,1,34622
1555,152,1,12138
1556,292,1,41235
1557,627,1,10979
1558,71,2,11367
1559,285,3,38339
1560,191,1,36035
1561,316,2,12357
1562,933,1,8554
1563,45,3,25021
1564,182,1,45408
1565,800,1,6383
1566,518,3,41132
1567,620,3,13846
1568,960,2,32471
1569,244,1,4802
1570,394,3,17411
1571,885,1,26735
1572,813,2,14766
1573,124,2,23941
1574,363,2,23263
1575,971,1,36052
1576,299,1,40709
1577,39,3,48267
1578,284,2,44984
1579,333,1,32663
1580,741,2,46186
1581,529,3,16025
1582,562,3,43418
1583,974,1,11959
1584,523,2,3745
1585,963,3,30109
1586,111,2,11153
1587,377,3,24671
1588,506,1,10313
1589,45,3,39000
1590,894,1,44379
